n0,g47,g26
n1,g31,g90
n2,g12,g22
n3,g88,g76
n4,g60,g72
n5,g60,g59
n6,g22,g28
n7,g62,g48
n8,g12,g90
n9,g90,g67
n10,g39,g82
n11,g39,g95
n12,g45,g49
n13,g17,g29
n14,g47,g45
n15,g54,g83
n16,g49,g62
n17,g34,g28
n18,g23,g59
n19,g36,g82
n20,g87,g13
n21,g43,g33
n22,g88,g19
n23,g47,g0
n24,g98,g3
n25,g66,g81
n26,g62,g77
n27,g45,g41
n28,g55,g94
n29,g34,g59
n30,g15,g28
n31,g42,g88
n32,g59,g27
n33,g55,g41
n34,g48,g83
n35,g21,g97
n36,g98,g64
n37,g63,g16
n38,g95,g73
n39,g1,g17
n40,g16,g51
n41,g41,g6
n42,g47,g93
n43,g47,g51
n44,g91,g94
n45,g95,g21
n46,g12,g34
n47,g9,g74
n48,g24,g80
n49,g44,g51
n50,g4,g5
n51,g71,g19
n52,g10,g73
n53,g43,g83
n54,g55,g87
n55,g78,g82
n56,g17,g26
n57,g9,g73
n58,g84,g73
n59,g62,g78
n60,g26,g61
n61,g90,g56
n62,g71,g51
n63,g86,g48
n64,g80,g89
n65,g76,g89
n66,g87,g43
n67,g11,g56
n68,g30,g98
n69,g27,g19
n70,g90,g13
n71,g84,g44
n72,g2,g85
n73,g84,g28
n74,g11,g3
n75,g34,g79
n76,g80,g43
n77,g63,g53
n78,g69,g97
n79,g41,g99
n80,g46,g65
n81,g19,g80
n82,g30,g79
n83,g66,g13
n84,g95,g40
n85,g71,g6
n86,g71,g0
n87,g96,g9
n88,g64,g11
n89,g55,g44
n90,g75,g93
n91,g97,g14
n92,g50,g86
n93,g4,g87
n94,g92,g84
n95,g4,g93
n96,g10,g45
n97,g71,g43
n98,g37,g45
n99,g49,g98
