netlist length,routability by arb 20x20,routability of mean 20x20,routability best of 20x20,routability worst of 20x20,routability by arb 30x30,routability of mean 30x30,routability best of 30x30,routability worst of 30x30,routability by arb 40x40,routability of mean 40x40,routability best of 40x40,routability worst of 40x40,routability by arb 50x50,routability of mean 50x50,routability best of 50x50,routability worst of 50x50,routability by arb 60x60,routability of mean 60x60,routability best of 60x60,routability worst of 60x60,routability by arb 70x70,routability of mean 70x70,routability best of 70x70,routability worst of 70x70,routability by arb 80x80,routability of mean 80x80,routability best of 80x80,routability worst of 80x80,routability by arb 90x90,routability of mean 90x90,routability best of 90x90,routability worst of 90x90,routability by arb 100x100,routability of mean 100x100,routability best of 100x100,routability worst of 100x100
10,0.955,0.9691,1.0,0.875,0.995,0.9984999999999999,1.0,0.975,1.0,0.999675,1.0,0.99,1.0,0.9997125,1.0,0.985,1.0,0.99995,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999775,1.0,0.995
11,0.9772727272727273,0.9710227272727272,1.0,0.8818181818181818,0.9954545454545455,0.9975227272727273,1.0,0.95,1.0,0.9997727272727273,1.0,0.9863636363636363,1.0,0.999875,1.0,0.990909090909091,1.0,0.9996590909090909,1.0,0.990909090909091,1.0,0.9998409090909091,1.0,0.9863636363636363,1.0,0.9995681818181819,1.0,0.990909090909091,1.0,0.9995227272727273,1.0,0.990909090909091,1.0,0.9999772727272728,1.0,0.9954545454545455
12,0.95,0.9418541666666667,1.0,0.8041666666666667,0.9958333333333333,0.9977916666666666,1.0,0.975,1.0,0.9976666666666667,1.0,0.9583333333333333,0.9979166666666667,0.9986979166666666,1.0,0.9791666666666666,1.0,0.9985625,1.0,0.975,1.0,0.9998333333333334,1.0,0.9958333333333333,1.0,0.999875,1.0,0.9958333333333333,1.0,0.9992708333333333,1.0,0.9958333333333333,1.0,0.9999583333333333,1.0,0.9958333333333333
13,0.9653846153846154,0.9547115384615384,1.0,0.8384615384615385,0.9961538461538462,0.9961538461538462,1.0,0.9423076923076923,1.0,0.9983269230769231,1.0,0.9615384615384616,0.9980769230769231,0.9989230769230769,1.0,0.9692307692307692,1.0,0.9993076923076923,1.0,0.9807692307692308,0.9923076923076923,0.9936346153846154,1.0,0.9653846153846154,1.0,0.9998461538461538,1.0,0.9846153846153847,1.0,0.9996153846153846,1.0,0.9769230769230769,1.0,0.9995961538461539,1.0,0.9961538461538462
14,0.9714285714285714,0.9527142857142857,1.0,0.825,0.9857142857142858,0.9943035714285714,1.0,0.9285714285714286,0.9928571428571429,0.9981607142857143,1.0,0.9464285714285714,0.9982142857142857,0.9984642857142857,1.0,0.9696428571428571,0.9892857142857143,0.9948035714285715,1.0,0.9678571428571429,1.0,0.9981964285714285,1.0,0.9607142857142857,0.9928571428571429,0.999125,1.0,0.9785714285714285,1.0,0.9997321428571428,1.0,0.9785714285714285,1.0,0.9996607142857142,1.0,0.9857142857142858
15,0.9433333333333334,0.9457833333333333,1.0,0.8166666666666667,0.99,0.9896833333333334,1.0,0.91,0.9933333333333333,0.9947166666666667,1.0,0.9266666666666666,0.9983333333333333,0.9967416666666666,1.0,0.9533333333333334,1.0,0.9978166666666667,1.0,0.9566666666666667,1.0,0.9995166666666666,1.0,0.9833333333333334,0.9966666666666667,0.9971166666666667,1.0,0.97,1.0,0.99915,1.0,0.9833333333333334,1.0,0.99985,1.0,0.9766666666666667
16,0.95625,0.9471875,1.0,0.825,0.98125,0.986921875,1.0,0.90625,0.996875,0.991328125,1.0,0.928125,0.996875,0.99621875,1.0,0.9546875,0.996875,0.997046875,1.0,0.95625,1.0,0.99815625,1.0,0.9625,1.0,0.99978125,1.0,0.984375,1.0,0.9998125,1.0,0.9875,0.996875,0.998828125,1.0,0.98125
17,0.9411764705882353,0.929514705882353,1.0,0.7794117647058824,0.9911764705882353,0.9888529411764706,1.0,0.9029411764705882,0.9941176470588236,0.9929264705882354,1.0,0.9264705882352942,0.9941176470588236,0.9964558823529411,1.0,0.9455882352941176,0.9970588235294118,0.9975147058823529,1.0,0.961764705882353,1.0,0.99875,1.0,0.9676470588235294,1.0,0.9991617647058824,1.0,0.9794117647058823,0.9970588235294118,0.9981764705882353,1.0,0.961764705882353,0.9970588235294118,0.9972941176470589,1.0,0.9705882352941176
18,0.9083333333333333,0.9211666666666667,1.0,0.7611111111111111,0.9861111111111112,0.9839027777777778,1.0,0.8972222222222221,0.9944444444444445,0.9933472222222223,1.0,0.9249999999999999,0.9958333333333333,0.9954791666666667,1.0,0.9444444444444444,1.0,0.998263888888889,1.0,0.9694444444444444,0.9972222222222222,0.9954861111111111,1.0,0.9583333333333333,1.0,0.998375,1.0,0.9666666666666667,1.0,0.9986666666666667,1.0,0.9666666666666667,1.0,0.9988888888888889,1.0,0.9666666666666667
19,0.9157894736842105,0.9179868421052632,0.9973684210526316,0.7894736842105263,0.9789473684210526,0.9805394736842105,1.0,0.8894736842105263,0.9947368421052631,0.9929736842105263,1.0,0.9131578947368421,0.9973684210526316,0.995953947368421,1.0,0.9447368421052631,0.9947368421052631,0.9961578947368421,1.0,0.9421052631578947,0.9973684210526316,0.9968552631578947,1.0,0.9578947368421052,0.9947368421052631,0.9963815789473685,1.0,0.9605263157894737,1.0,0.9960263157894736,1.0,0.9421052631578947,1.0,0.9984605263157895,1.0,0.968421052631579
