netlist length,routability by arb 20x20,routability of mean 20x20,routability best of 20x20,routability worst of 20x20,routability by arb 30x30,routability of mean 30x30,routability best of 30x30,routability worst of 30x30,routability by arb 40x40,routability of mean 40x40,routability best of 40x40,routability worst of 40x40,routability by arb 50x50,routability of mean 50x50,routability best of 50x50,routability worst of 50x50,routability by arb 60x60,routability of mean 60x60,routability best of 60x60,routability worst of 60x60,routability by arb 70x70,routability of mean 70x70,routability best of 70x70,routability worst of 70x70,routability by arb 80x80,routability of mean 80x80,routability best of 80x80,routability worst of 80x80,routability by arb 90x90,routability of mean 90x90,routability best of 90x90,routability worst of 90x90,routability by arb 100x100,routability of mean 100x100,routability best of 100x100,routability worst of 100x100
10,0.65,0.7175,1,0.2,0.95,0.982,1,0.7,1,0.9964999999999999,1,0.9,1,0.9964999999999999,1,0.9,1,1,1,1,1,1,1,1,1,0.99975,1,0.95,1,1,1,1,1,0.99625,1,0.95
11,0.75,0.74475,1,0.2,0.9,0.9652499999999999,1,0.6,1,0.9964999999999999,1,0.85,1,0.99875,1,0.9,1,0.99575,1,0.85,1,0.99725,1,0.75,1,0.9975,1,0.9,1,0.9944999999999999,1,0.85,1,0.9995,1,0.95
12,0.35,0.484,1,0,1,0.9702500000000001,1,0.6,1,0.96875,1,0.6,1,0.98475,1,0.7,1,0.98425,1,0.65,1,0.99775,1,0.9,1,0.99825,1,0.95,1,0.9885,1,0.9,1,0.9995,1,0.95
13,0.55,0.54375,1,0.05,0.95,0.95225,1,0.2,0.95,0.98125,1,0.65,1,0.99075,1,0.6,0.95,0.9855,1,0.7,1,0.92775,1,0.7,0.95,0.99875,1,0.75,1,0.99225,1,0.8,1,0.99625,1,0.95
14,0.5,0.4945,1,0,1,0.92825,1,0.25,1,0.97725,1,0.35,1,0.9795,1,0.5,0.9,0.949,1,0.6,1,0.9845,1,0.7,1,0.98975,1,0.7,1,0.99775,1,0.85,1,0.99775,1,0.85
15,0.45,0.4475,1,0.05,0.9,0.86825,1,0.05,0.95,0.928,1,0.2,0.9,0.9555,1,0.35,0.95,0.97325,1,0.5,1,0.98975,1,0.75,1,0.962,1,0.6,1,0.9875,1,0.7,1,0.998,1,0.8
16,0.55,0.44875,1,0,0.85,0.8215,1,0.05,0.85,0.865,1,0.15,0.95,0.9430000000000001,1,0.4,0.9,0.95625,1,0.4,1,0.97325,1,0.35,0.95,0.99325,1,0.6,1,0.99725,1,0.85,0.9,0.9825,1,0.75
17,0.3,0.2995,1,0,0.8,0.84625,1,0,0.95,0.89425,1,0.1,0.95,0.94825,1,0.3,0.95,0.96425,1,0.5,1,0.98025,1,0.6,1,0.9855,1,0.65,0.95,0.973,1,0.45,1,0.95725,1,0.5
18,0.15,0.2185,1,0,0.65,0.7735,1,0,0.95,0.89125,1,0.1,0.95,0.92725,1,0.15,1,0.97125,1,0.55,1,0.926,1,0.35,0.95,0.9695,1,0.5,0.9,0.97375,1,0.45,1,0.9795,1,0.5
19,0.1,0.21275,1,0,0.8,0.695,1,0.05,0.9,0.87925,1,0,0.95,0.92825,1,0.2,0.95,0.9295,1,0.1,1,0.94375,1,0.4,0.85,0.93875,1,0.35,0.95,0.93425,1,0.3,0.9,0.9665,1,0.6
20,0.2,0.19625,1,0,0.85,0.78575,1,0.05,0.9,0.84425,1,0,0.9,0.84325,1,0.05,1,0.9485,1,0.15,0.85,0.9255,1,0.1,0.9,0.94775,1,0.5,0.85,0.919,1,0.4,0.95,0.96325,1,0.5
21,0.1,0.07875,0.85,0,0.6,0.57025,1,0,0.7,0.73125,1,0.05,0.8,0.85975,1,0.05,0.85,0.858,1,0.15,1,0.91125,1,0.2,0.9,0.928,1,0.2,1,0.97475,1,0.45,1,0.95,1,0.5
