netlist length,solvability by random 20x20,solvability of mean 20x20,solvability best of 1 20x20,solvability by random 30x30,solvability of mean 30x30,solvability best of 1 30x30,solvability by random 40x40,solvability of mean 40x40,solvability best of 1 40x40,solvability by random 50x50,solvability of mean 50x50,solvability best of 1 50x50,solvability by random 60x60,solvability of mean 60x60,solvability best of 1 60x60,solvability by random 70x70,solvability of mean 70x70,solvability best of 1 70x70,solvability by random 80x80,solvability of mean 80x80,solvability best of 1 80x80
10,0.6,0.6,0.6,0.95,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.85,0.85,0.85,0.95,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.6,0.6,0.6,1,1,1,0.95,0.95,0.95,1,1,1,0.95,0.95,0.95,1,1,1,1,1,1
13,0.55,0.55,0.55,0.95,0.95,0.95,0.95,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1
14,0.35,0.35,0.35,0.9,0.9,0.9,1,1,1,0.95,0.95,0.95,0.95,0.95,0.95,1,1,1,1,1,1
15,0.35,0.35,0.35,0.85,0.85,0.85,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,1,1,0.95,0.95,0.95
16,0.4,0.4,0.4,0.75,0.75,0.75,1,1,1,0.9,0.9,0.9,0.95,0.95,0.95,1,1,1,1,1,1
17,0.2,0.2,0.2,0.75,0.75,0.75,0.9,0.9,0.9,0.95,0.95,0.95,1,1,1,0.95,0.95,0.95,0.95,0.95,0.95
18,0.4,0.4,0.4,0.8,0.8,0.8,0.95,0.95,0.95,0.85,0.85,0.85,1,1,1,0.95,0.95,0.95,1,1,1
19,0.25,0.25,0.25,0.7,0.7,0.7,0.95,0.95,0.95,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,0.9
20,0.15,0.15,0.15,0.85,0.85,0.85,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.95
21,0.05,0.05,0.05,0.55,0.55,0.55,0.75,0.75,0.75,0.95,0.95,0.95,0.95,0.95,0.95,0.85,0.85,0.85,0.95,0.95,0.95
22,0,0,0,0.65,0.65,0.65,0.95,0.95,0.95,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.85,0.85,1,1,1
23,0.15,0.15,0.15,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7,0.7,0.7,0.75,0.75,0.75
24,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65,0.7,0.7,0.7,0.85,0.85,0.85,0.75,0.75,0.75
25,0,0,0,0.45,0.45,0.45,0.55,0.55,0.55,0.6,0.6,0.6,0.65,0.65,0.65,0.8,0.8,0.8,0.85,0.85,0.85
26,0,0,0,0.2,0.2,0.2,0.6,0.6,0.6,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.85,0.85
27,0.05,0.05,0.05,0.25,0.25,0.25,0.7,0.7,0.7,0.55,0.55,0.55,0.55,0.55,0.55,0.8,0.8,0.8,0.95,0.95,0.95
28,0,0,0,0.3,0.3,0.3,0.5,0.5,0.5,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.65,0.65,0.65
