netlist length,solvability by arb 20x20,solvability of mean 20x20,solvability best of 20x20,solvability worst of 20x20,solvability by arb 30x30,solvability of mean 30x30,solvability best of 30x30,solvability worst of 30x30,solvability by arb 40x40,solvability of mean 40x40,solvability best of 40x40,solvability worst of 40x40,solvability by arb 50x50,solvability of mean 50x50,solvability best of 50x50,solvability worst of 50x50,solvability by arb 60x60,solvability of mean 60x60,solvability best of 60x60,solvability worst of 60x60,solvability by arb 70x70,solvability of mean 70x70,solvability best of 70x70,solvability worst of 70x70,solvability by arb 80x80,solvability of mean 80x80,solvability best of 80x80,solvability worst of 80x80,solvability by arb 90x90,solvability of mean 90x90,solvability best of 90x90,solvability worst of 90x90,solvability by arb 100x100,solvability of mean 100x100,solvability best of 100x100,solvability worst of 100x100
10,0.65,0.721,1,0.2,0.95,0.985,1,0.75,1,0.99675,1,0.9,1,0.997125,1,0.85,1,0.9995,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99775,1,0.95
11,0.75,0.75275,1,0.25,0.95,0.9735,1,0.55,1,0.9975,1,0.85,1,0.998625,1,0.9,1,0.99625,1,0.9,1,0.99825,1,0.85,1,0.99525,1,0.9,1,0.99475,1,0.9,1,0.99975,1,0.95
12,0.5,0.483,1,0,0.95,0.9735,1,0.7,1,0.972,1,0.5,0.975,0.984375,1,0.75,1,0.98325,1,0.75,1,0.998,1,0.95,1,0.9984999999999999,1,0.95,1,0.99125,1,0.95,1,0.9995,1,0.95
13,0.55,0.5345,1,0.05,0.95,0.9505,1,0.3,1,0.979,1,0.55,0.975,0.98625,1,0.65,1,0.991,1,0.75,0.9,0.9275,1,0.65,1,0.998,1,0.8,1,0.995,1,0.7,1,0.99475,1,0.95
14,0.6,0.5035,1,0,0.85,0.922,1,0.2,0.9,0.97475,1,0.3,0.975,0.97875,1,0.625,0.9,0.94625,1,0.65,1,0.9765,1,0.5,0.95,0.98925,1,0.75,1,0.9964999999999999,1,0.75,1,0.9955,1,0.85
15,0.35,0.44,1,0.05,0.85,0.86175,1,0.1,0.9,0.9255,1,0.15,0.975,0.952375,1,0.45,1,0.96975,1,0.45,1,0.99275,1,0.75,0.95,0.957,1,0.6,1,0.988,1,0.8,1,0.99775,1,0.65
16,0.5,0.436,1,0,0.7,0.82275,1,0.05,0.95,0.87125,1,0.2,0.95,0.943125,1,0.425,0.95,0.954,1,0.4,1,0.972,1,0.65,1,0.9964999999999999,1,0.75,1,0.997,1,0.8,0.95,0.98125,1,0.7
17,0.35,0.31225,1,0,0.85,0.8365,1,0,0.9,0.887,1,0.05,0.9,0.9435,1,0.325,0.95,0.9595,1,0.55,1,0.97875,1,0.45,1,0.98675,1,0.75,0.95,0.9705,1,0.45,0.95,0.95925,1,0.6
18,0.15,0.21825,1,0,0.75,0.7645,1,0,0.9,0.889,1,0.1,0.925,0.925125,1,0.225,1,0.97225,1,0.55,0.95,0.924,1,0.35,1,0.9722500000000001,1,0.55,1,0.97875,1,0.45,1,0.981,1,0.55
19,0.25,0.2105,0.95,0,0.65,0.707,1,0.05,0.9,0.879,1,0,0.95,0.9299999999999999,1,0.2,0.95,0.93025,1,0.1,0.95,0.94925,1,0.3,0.9,0.93525,1,0.45,1,0.931,1,0.3,1,0.97175,1,0.55
