n1,g17,g11
n2,g26,g18
n3,g2,g12
n4,g33,g3
n5,g2,g21
n6,g13,g37
n7,g35,g20
n8,g12,g11
n9,g12,g46
n10,g22,g43
n11,g37,g21
n12,g16,g23
n13,g4,g22
n14,g49,g3
n15,g33,g26
n16,g39,g50
n17,g25,g30
n18,g15,g17
n19,g1,g4
n20,g31,g8
n21,g4,g11
n22,g17,g9
n23,g47,g1
n24,g27,g42
n25,g35,g3
n26,g2,g14
n27,g26,g7
n28,g50,g29
n29,g28,g48
n30,g4,g15
n31,g41,g48
n32,g15,g44
n33,g15,g47
n34,g28,g39
n35,g15,g35
n36,g27,g40
n37,g48,g45
n38,g47,g30
n39,g13,g10
n40,g50,g13
n41,g39,g8
n42,g31,g33
n43,g31,g41
n44,g14,g46
n45,g6,g42
n46,g30,g38
n47,g46,g39
n48,g45,g35
n49,g45,g29
n50,g23,g45
n51,g44,g32
n52,g49,g35
n53,g7,g34
n54,g34,g8
n55,g2,g38
n56,g6,g18
n57,g38,g3
n58,g40,g39
n59,g28,g37
n60,g19,g43
n61,g18,g36
n62,g13,g6
n63,g38,g41
n64,g6,g40
n65,g38,g44
n66,g9,g5
n67,g40,g4
n68,g34,g32
n69,g22,g34
n70,g1,g40
