n0,g61,g68
n1,g83,g79
n2,g71,g53
n3,g21,g48
n4,g21,g95
n5,g68,g29
n6,g50,g74
n7,g37,g35
n8,g29,g76
n9,g82,g86
n10,g53,g31
n11,g33,g57
n12,g55,g34
n13,g78,g19
n14,g41,g11
n15,g0,g86
n16,g69,g30
n17,g2,g45
n18,g81,g87
n19,g94,g25
n20,g43,g33
n21,g64,g69
n22,g11,g60
n23,g21,g24
n24,g54,g14
n25,g70,g50
n26,g63,g70
n27,g71,g44
n28,g26,g99
n29,g52,g22
n30,g86,g14
n31,g56,g58
n32,g51,g58
n33,g78,g47
n34,g5,g14
n35,g65,g88
n36,g79,g23
n37,g17,g37
n38,g85,g57
n39,g17,g43
n40,g17,g95
n41,g37,g66
n42,g3,g87
n43,g49,g31
n44,g34,g59
n45,g71,g49
n46,g47,g11
n47,g88,g57
n48,g39,g55
n49,g12,g22
n50,g35,g54
n51,g19,g0
n52,g29,g65
n53,g62,g57
n54,g72,g9
n55,g0,g60
n56,g57,g97
n57,g41,g90
n58,g28,g13
n59,g24,g58
n60,g10,g17
n61,g10,g46
n62,g82,g14
n63,g80,g38
n64,g94,g39
n65,g97,g54
n66,g82,g48
n67,g30,g60
n68,g35,g87
n69,g76,g32
n70,g97,g52
n71,g84,g44
n72,g28,g0
n73,g9,g65
n74,g5,g79
n75,g3,g94
n76,g40,g24
n77,g38,g71
n78,g78,g25
n79,g84,g82
