n0,g6,g67
n1,g73,g54
n2,g50,g91
n3,g98,g4
n4,g26,g94
n5,g1,g72
n6,g49,g98
n7,g30,g75
n8,g67,g72
n9,g76,g50
n10,g42,g73
n11,g0,g79
n12,g42,g21
n13,g81,g74
n14,g43,g63
n15,g54,g15
n16,g94,g63
n17,g7,g78
n18,g7,g10
n19,g92,g56
n20,g42,g96
n21,g57,g49
n22,g12,g67
n23,g8,g80
n24,g65,g78
n25,g57,g5
n26,g64,g72
n27,g46,g52
n28,g36,g47
n29,g33,g48
n30,g94,g96
n31,g71,g34
n32,g72,g98
n33,g33,g52
n34,g28,g94
n35,g16,g78
n36,g42,g79
n37,g99,g56
n38,g14,g56
n39,g24,g61
n40,g33,g29
n41,g79,g57
n42,g44,g90
n43,g37,g97
n44,g8,g70
n45,g13,g45
n46,g93,g58
n47,g19,g91
n48,g28,g25
n49,g83,g41
n50,g75,g12
n51,g23,g6
n52,g23,g11
n53,g54,g85
n54,g87,g49
n55,g68,g63
n56,g18,g80
n57,g48,g31
n58,g7,g90
n59,g25,g36
n60,g98,g67
n61,g5,g9
n62,g95,g5
n63,g40,g8
n64,g45,g21
n65,g58,g95
n66,g20,g68
n67,g38,g63
n68,g27,g91
n69,g29,g0
n70,g95,g80
n71,g79,g66
n72,g48,g87
n73,g42,g90
n74,g13,g76
n75,g93,g79
n76,g95,g26
n77,g88,g7
n78,g69,g13
n79,g15,g45
n80,g16,g10
n81,g11,g41
n82,g54,g17
n83,g24,g8
n84,g40,g35
n85,g85,g70
n86,g61,g28
n87,g99,g66
n88,g70,g26
n89,g35,g76
n90,g49,g4
n91,g55,g44
n92,g21,g84
n93,g89,g85
n94,g65,g2
n95,g14,g95
n96,g58,g17
n97,g87,g2
n98,g39,g47
n99,g24,g87
n100,g22,g45
n101,g9,g47
n102,g34,g35
n103,g1,g50
n104,g65,g99
n105,g22,g61
n106,g36,g41
n107,g22,g56
n108,g86,g12
n109,g51,g19
n110,g48,g7
n111,g80,g69
n112,g75,g84
n113,g12,g85
n114,g73,g75
n115,g69,g64
n116,g88,g9
n117,g36,g16
n118,g14,g59
n119,g85,g99
