n70,g73,g80
n6,g77,g84
n4,g4,g14
n22,g53,g36
n21,g0,g74
n60,g11,g99
n79,g64,g13
n74,g62,g12
n69,g40,g43
n28,g94,g38
n14,g65,g25
n45,g21,g81
n5,g10,g55
n23,g41,g27
n24,g5,g68
n17,g58,g52
n54,g80,g56
n77,g25,g55
n63,g66,g67
n9,g71,g59
n25,g33,g80
n87,g40,g46
n10,g78,g93
n68,g95,g94
n34,g54,g25
n72,g92,g2
n73,g79,g41
n55,g16,g78
n44,g73,g3
n16,g69,g31
n80,g17,g58
n81,g35,g7
n75,g60,g43
n66,g8,g98
n47,g56,g55
n52,g99,g6
n59,g3,g34
n57,g26,g16
n71,g25,g83
n37,g83,g87
n31,g82,g67
n19,g91,g94
n46,g65,g79
n65,g62,g49
n85,g40,g23
n1,g0,g85
n84,g69,g94
n32,g28,g80
n26,g22,g31
n20,g77,g32
n53,g23,g91
n56,g3,g70
n76,g18,g71
n38,g3,g48
n13,g15,g87
n67,g86,g77
n41,g37,g32
n18,g34,g19
n11,g3,g61
n30,g72,g86
n35,g62,g7
n8,g25,g48
n83,g54,g28
n39,g92,g40
n33,g68,g43
n27,g30,g15
n50,g11,g36
n12,g26,g0
n82,g58,g35
n0,g10,g41
n43,g30,g19
n58,g87,g17
n36,g41,g19
n42,g21,g40
n61,g51,g88
n78,g55,g88
n3,g64,g86
n29,g46,g2
n49,g23,g74
n86,g2,g68
n62,g32,g24
n40,g44,g71
n51,g7,g92
n7,g81,g35
n15,g59,g91
n48,g1,g19
n64,g34,g23
n2,g69,g91
