n70,g59,g54
n6,g45,g27
n4,g34,g15
n22,g42,g85
n21,g67,g44
n60,g91,g81
n79,g43,g2
n74,g32,g14
n69,g51,g60
n28,g82,g15
n14,g38,g73
n45,g0,g83
n5,g40,g61
n23,g53,g39
n24,g48,g8
n17,g43,g4
n54,g25,g62
n77,g86,g62
n63,g95,g94
n9,g64,g38
n25,g91,g22
n10,g92,g26
n68,g57,g30
n34,g54,g46
n72,g33,g76
n73,g26,g21
n55,g0,g35
n44,g20,g50
n16,g71,g23
n80,g70,g19
n81,g99,g37
n75,g85,g9
n66,g51,g66
n47,g77,g39
n52,g32,g86
n59,g58,g27
n57,g53,g73
n71,g72,g50
n37,g61,g20
n31,g7,g81
n19,g73,g97
n46,g1,g22
n65,g21,g28
n85,g4,g34
n1,g94,g91
n84,g26,g47
n32,g32,g49
n26,g94,g35
n20,g27,g44
n53,g16,g71
n56,g84,g93
n76,g22,g48
n38,g26,g37
n13,g6,g63
n67,g84,g7
n41,g96,g73
n18,g7,g60
n11,g55,g25
n30,g39,g16
n35,g63,g5
n8,g76,g86
n83,g43,g36
n39,g10,g27
n33,g72,g17
n27,g32,g20
n50,g23,g26
n12,g25,g14
n82,g98,g50
n0,g55,g21
n43,g48,g93
n58,g42,g74
n36,g87,g70
n42,g9,g65
n61,g90,g83
n78,g42,g14
n3,g64,g71
n29,g22,g20
n49,g55,g32
n86,g92,g70
n62,g5,g38
n40,g52,g39
n51,g33,g84
n7,g60,g14
n15,g30,g53
n48,g94,g58
n64,g90,g2
n2,g28,g45
