, arbitrary netlists,,mean solvability,,optimized netlist order,,worst order,
chipsize (XxZ),arb_a,arb_b,mean_a,mean_b,best_a,best_b,worst_a,worst_b
20,16.016639718090538,0.0908613812219275,16.1838831729027,0.08359517133284043,28.34285402141323,0.13780054161372485,8.678446746249456,0.13729984126938244
30,27.800865811923668,0.06270936336243238,27.22704514342201,0.07316494447198461,44.22888775560704,0.1332104821725758,13.018504406817454,0.2110565552660885
40,32.46370108987854,0.07344334389743773,32.49778781456127,0.06229121645877252,52.9611088384384,0.1128976476751663,13.901195668966135,0.21365899426479384
50,35.40038049039041,0.05771331040056261,35.33061377799381,0.05976665950638111,57.31752162072695,0.1009128654114191,16.467124894785208,0.1438620213174041
60,39.261345993479544,0.054602780357885815,38.431516740805684,0.05362864034875705,62.6394647757718,0.0808025824165149,17.711763996530905,0.12252083417413488
70,41.49107158233677,0.051597868526948594,41.81797179802579,0.04989173184807374,66.82899099501702,0.08954170920528856,18.108914338104345,0.13130313897913554
80,44.714433402585364,0.05063118287461031,43.74418595752984,0.04864835499223831,71.25034963210283,0.07564650631478519,19.886244311931268,0.1288477894552997
90,46.39608425979723,0.045653588834618945,45.57746837107906,0.04699446730585547,74.47164989521985,0.07325162496788512,20.39647388894063,0.09665796493666867
100,47.33230183724914,0.0489443972782387,47.83565862684976,0.0472237844393688,77.67459255290402,0.08395971898758657,22.46554183979429,0.08877019037511355
